regione,popolazione,eta,eta_class,eta_class2
Piemonte,37577,9,"[0,10)",0-15
Umbria,7742,9,"[0,10)",0-15
Valle d'Aosta,1155,9,"[0,10)",0-15
Lombardia,96782,9,"[0,10)",0-15
Basilicata,4527,9,"[0,10)",0-15
P.A. Bolzano,5533,9,"[0,10)",0-15
Sicilia,46202,9,"[0,10)",0-15
Emilia-Romagna,41720,9,"[0,10)",0-15
Trentino Alto Adige / Südtirol,11092,9,"[0,10)",0-15
Liguria,11930,9,"[0,10)",0-15
Molise,2444,9,"[0,10)",0-15
P.A. Trento,5559,9,"[0,10)",0-15
Veneto,45848,9,"[0,10)",0-15
Abruzzo,11479,9,"[0,10)",0-15
Sardegna,13277,10,"[10,20)",0-15
Piemonte,38651,10,"[10,20)",0-15
Trentino Alto Adige / Südtirol,10974,10,"[10,20)",0-15
Valle d'Aosta,1224,10,"[10,20)",0-15
P.A. Bolzano,5484,10,"[10,20)",0-15
Sicilia,47207,10,"[10,20)",0-15
P.A. Trento,5490,10,"[10,20)",0-15
Basilicata,4722,10,"[10,20)",0-15
Emilia-Romagna,42417,10,"[10,20)",0-15
Molise,2271,10,"[10,20)",0-15
Umbria,7706,10,"[10,20)",0-15
Abruzzo,11286,10,"[10,20)",0-15
Calabria,17491,10,"[10,20)",0-15
Puglia,36955,10,"[10,20)",0-15
Liguria,12472,10,"[10,20)",0-15
Lombardia,98664,10,"[10,20)",0-15
Marche,14000,10,"[10,20)",0-15
Toscana,32840,10,"[10,20)",0-15
Campania,58784,10,"[10,20)",0-15
Lazio,54780,10,"[10,20)",0-15
Veneto,46493,10,"[10,20)",0-15
Friuli Venezia Giulia,10550,10,"[10,20)",0-15
Piemonte,38936,11,"[10,20)",0-15
Valle d'Aosta,1204,11,"[10,20)",0-15
Liguria,12738,11,"[10,20)",0-15
Trentino Alto Adige / Südtirol,11280,11,"[10,20)",0-15
Veneto,47439,11,"[10,20)",0-15
P.A. Trento,5601,11,"[10,20)",0-15
Emilia-Romagna,42163,11,"[10,20)",0-15
P.A. Bolzano,5679,11,"[10,20)",0-15
Marche,14074,11,"[10,20)",0-15
Sicilia,48062,11,"[10,20)",0-15
Umbria,8132,11,"[10,20)",0-15
Toscana,33856,11,"[10,20)",0-15
Molise,2471,11,"[10,20)",0-15
Lombardia,98737,11,"[10,20)",0-15
Friuli Venezia Giulia,10534,11,"[10,20)",0-15
Lazio,55204,11,"[10,20)",0-15
Abruzzo,11691,11,"[10,20)",0-15
Basilicata,4852,11,"[10,20)",0-15
Calabria,17693,11,"[10,20)",0-15
Campania,59471,11,"[10,20)",0-15
Puglia,37473,11,"[10,20)",0-15
Sardegna,13327,11,"[10,20)",0-15
Lombardia,97568,12,"[10,20)",0-15
Liguria,12464,12,"[10,20)",0-15
Emilia-Romagna,41874,12,"[10,20)",0-15
Umbria,8097,12,"[10,20)",0-15
Friuli Venezia Giulia,10734,12,"[10,20)",0-15
Lazio,55430,12,"[10,20)",0-15
Molise,2481,12,"[10,20)",0-15
Veneto,46938,12,"[10,20)",0-15
Calabria,17760,12,"[10,20)",0-15
Abruzzo,11487,12,"[10,20)",0-15
Sicilia,47764,12,"[10,20)",0-15
Puglia,37915,12,"[10,20)",0-15
Marche,13867,12,"[10,20)",0-15
Basilicata,4792,12,"[10,20)",0-15
Toscana,33547,12,"[10,20)",0-15
Campania,60734,12,"[10,20)",0-15
Trentino Alto Adige / Südtirol,11157,12,"[10,20)",0-15
Sardegna,13297,12,"[10,20)",0-15
Piemonte,38912,12,"[10,20)",0-15
Valle d'Aosta,1207,12,"[10,20)",0-15
P.A. Bolzano,5731,12,"[10,20)",0-15
P.A. Trento,5426,12,"[10,20)",0-15
Marche,13695,13,"[10,20)",0-15
Calabria,18278,13,"[10,20)",0-15
Liguria,12639,13,"[10,20)",0-15
Sardegna,13394,13,"[10,20)",0-15
Toscana,33276,13,"[10,20)",0-15
Lombardia,97967,13,"[10,20)",0-15
P.A. Bolzano,5701,13,"[10,20)",0-15
Valle d'Aosta,1235,13,"[10,20)",0-15
Basilicata,4953,13,"[10,20)",0-15
Sicilia,48748,13,"[10,20)",0-15
Emilia-Romagna,41506,13,"[10,20)",0-15
Veneto,47008,13,"[10,20)",0-15
Abruzzo,11364,13,"[10,20)",0-15
Piemonte,38350,13,"[10,20)",0-15
Puglia,38162,13,"[10,20)",0-15
Trentino Alto Adige / Südtirol,11237,13,"[10,20)",0-15
Molise,2479,13,"[10,20)",0-15
P.A. Trento,5536,13,"[10,20)",0-15
Umbria,7982,13,"[10,20)",0-15
Lazio,54995,13,"[10,20)",0-15
Friuli Venezia Giulia,10690,13,"[10,20)",0-15
Campania,61105,13,"[10,20)",0-15
Sicilia,49699,14,"[10,20)",0-15
Sardegna,13476,14,"[10,20)",0-15
Liguria,12571,14,"[10,20)",0-15
Piemonte,38154,14,"[10,20)",0-15
Valle d'Aosta,1142,14,"[10,20)",0-15
Lombardia,95729,14,"[10,20)",0-15
Trentino Alto Adige / Südtirol,11396,14,"[10,20)",0-15
P.A. Bolzano,5818,14,"[10,20)",0-15
P.A. Trento,5578,14,"[10,20)",0-15
